association,season,name,capacity,seats,x,y
543,2015,Molineux Stadium,32050,32050.0,-2.1304288,52.5902362
1237,2015,AMEX Stadium,31800,31800.0,-0.0837163,50.8615651
603,2015,Cardiff City Stadium,33280,33280.0,-3.2030122,51.4728226
399,2015,Elland Road,37890,37890.0,-1.5721446,53.7778162
1132,2015,Turf Moor,21994,21994.0,-2.2301736,53.7890244
1110,2015,John Smith's Stadium,24500,24500.0,-1.7682517,53.6542822
762,2015,St James' Park,52338,52338.0,-1.621656,54.975556
3008,2016,MKM Stadium,25586,25586.0,-0.367694,53.746291
762,2017,St James' Park,52338,52338.0,-1.621656,54.975556
762,2018,St James' Park,52338,52338.0,-1.621656,54.975556
8605,2018,Baku Olympic Stadium,69870,69870.0,49.919592,40.429956
762,2019,St James' Park,52338,52338.0,-1.621656,54.975556
3008,2019,MKM Stadium,25586,25586.0,-0.367694,53.746291
762,2020,St James' Park,52338,52338.0,-1.621656,54.975556
3008,2015,MKM Stadium,25586,25586.0,-0.367694,53.746291
762,2016,St James' Park,52338,52338.0,-1.621656,54.975556
3008,2018,MKM Stadium,25586,25586.0,-0.367694,53.746291
3008,2017,MKM Stadium,25586,25586.0,-0.367694,53.746291
3008,2020,MKM Stadium,25586,25586.0,-0.367694,53.746291
